,c1,c2,c3,c4,c5
330,"250,121,33","255,175,217","68,133,18","65,234,212","0,9,63"
331,"252,208,161","254,153,32","219,58,52","0,15,72","225,222,227"
332,"10,16,13","177,182,149","219,144,101","222,195,190","251,254,249"
333,"137,255,45","185,186,163","0,15,2","0,0,4","239,231,218"
334,"23,126,137","91,195,11","0,15,144","229,88,18","214,211,240"
335,"242,220,93","8,76,97","213,161,142","198,185,205","209,255,215"
336,"1,22,39","242,163,89","12,98,145","179,255,179","214,50,48"
337,"0,3,147","185,19,114","149,198,35","243,146,55","85,83,88"
338,"58,79,65","0,15,195","156,146,163","95,96,98","249,237,204"
339,"126,25,70","185,49,79","166,211,160","249,223,116","164,212,180"
340,"0,38,38","166,52,70","64,188,216","255,207,156","187,205,205"
341,"15,82,87","14,71,73","123,114,99","104,128,112","200,192,192"
342,"101,101,101","11,49,66","237,174,73","184,200,200","248,192,216"
343,"28,119,195","128,135,130","185,109,64","248,128,176","192,8,8"
344,"201,220,179","57,169,219","64,112,88","120,0,8","255,244,0"
345,"97,33,15","198,202,83","64,88,88","253,255,34","170,170,170"
346,"202,5,77","234,43,31","136,80,144","97,169,153","184,156,114"
347,"64,32,32","59,28,50","32,112,152","219,181,124","242,164,92"
348,"32,40,64","168,56,56","251,253,62","240,240,237","170,188,191"
349,"32,48,96","128,16,64","42,147,142","231,226,176","171,171,171"
350,"8,32,56","88,72,128","255,225,171","189,188,188","178,145,118"
351,"240,255,114","16,72,104","255,252,244","63,24,71","44,57,92"
352,"0,0,255","245,255,88","251,233,195","185,167,39","247,255,239"
353,"101,95,69","30,215,197","204,203,203","190,246,222","224,176,227"
354,"244,205,179","216,174,109","111,61,69","234,158,230","4,109,0"
355,"214,212,168","227,210,193","222,222,210","0,171,12","221,101,125"
356,"191,191,191","242,221,177","186,159,132","251,197,183","106,67,120"
357,"223,197,148","199,199,199","233,195,236","115,103,148","159,0,0"
358,"169,39,23","240,226,191","234,198,52","148,0,0","255,158,93"
359,"174,193,103","162,160,179","255,230,193","241,246,163","255,252,179"
360,"79,79,79","78,116,84","67,66,116","255,255,200","173,127,117"
361,"251,123,67","212,212,212","133,0,0","213,190,170","0,172,200"
362,"176,180,110","208,166,124","195,124,124","187,187,187","170,170,170"
363,"210,170,221","234,200,150","250,255,207","60,60,60","0,0,0"
364,"94,0,0","121,99,163","123,79,74","89,82,46","166,153,91"
365,"231,231,231","118,0,0","204,204,204","242,217,186","242,105,92"
366,"253,255,228","255,168,168","96,95,95","242,105,92","242,87,87"
367,"156,107,101","255,255,215","217,216,210","255,142,48","0,3,51"
368,"210,17,43","117,44,24","101,166,191","229,242,201","35,38,12"
369,"210,17,43","0,172,200","242,217,186","196,223,230","35,47,81"
370,"210,17,43","0,15,255","154,73,73","233,0,53","113,132,199"
371,"210,17,43","180,217,206","182,217,108","233,0,53","255,230,251"
372,"210,17,43","1,5,64","102,165,173","57,51,115","101,23,23"
373,"58,184,175","111,168,191","254,226,2","88,43,43","255,224,249"
374,"50,71,89","0,15,255","254,226,2","148,0,0","144,74,3"
375,"166,50,81","127,166,67","92,72,118","33,111,58","84,148,74"
376,"1,5,64","7,87,91","49,49,49","255,205,245","3,47,13"
377,"68,149,208","124,86,111","255,237,237","171,95,17","82,40,118"
378,"60,89,64","101,13,13","53,122,61","105,174,98","9,61,69"
379,"0,59,70","255,200,244","255,250,196","11,62,38","113,143,150"
380,"0,59,70","43,99,44","204,127,64","134,67,171","165,165,165"
381,"0,0,0","255,255,207","142,171,174","47,90,103","158,225,176"
382,"0,0,0","223,177,130","38,70,75","158,187,193","170,170,170"
383,"0,0,0","148,197,149","195,91,164","118,169,184","166,0,0"
384,"0,0,0","80,111,118","120,180,175","201,163,198","231,84,115"
385,"108,188,247","216,105,172","203,222,236","187,187,187","0,12,204"
386,"108,188,247","195,236,235","147,208,210","170,0,43","197,163,156"
387,"120,68,104","216,223,209","209,183,219","205,218,40","70,73,80"
388,"246,246,169","184,229,223","0,0,0","253,185,0","242,166,176"
389,"0,0,0","246,200,233","170,0,94","95,85,65","74,76,79"
390,"16,71,13","105,30,5","9,175,162","240,244,253","83,81,84"
391,"252,255,226","170,0,120","53,114,176","240,244,253","135,107,68"
392,"242,200,172","22,78,113","66,51,41","51,48,46","131,119,104"
393,"177,201,165","0,9,153","222,178,69","93,94,99","240,151,151"
394,"97,154,159","67,16,16","88,117,211","211,99,35","0,116,25"
395,"242,135,200","109,133,179","75,76,80","152,112,142","85,39,234"
