,c1,c2,c3,c4,c5,c1_feel,c1_sentiment,c2_feel,c2_sentiment,c3_feel,c3_sentiment,c4_feel,c4_sentiment,c5_feel,c5_sentiment
199,"18,120,236","137,207,227","146,206,150","35,197,38","0,116,25",,0,,0,,0,,0,,0
200,"246,201,201","242,171,246","210,145,223","150,203,223","85,39,234",,0,,0,,0,,0,,0
201,"71,190,236","126,132,221","13,201,63","208,153,219","231,191,224",,0,,0,,0,,0,,0
202,"216,216,216","240,240,240","97,0,131","208,184,184","255,234,234",,0,,0,,0,,0,,0
203,"120,193,226","23,106,182","17,93,171","37,70,137","5,3,4",,0,,0,,0,,0,,0
204,"234,121,27","231,162,91","182,0,0","60,10,10","105,52,52",,0,,0,,0,,0,,0
205,"156,122,122","182,244,196","0,15,255","253,202,241","240,221,161",,0,,0,,0,,0,,0
206,"133,119,182","208,114,204","229,171,131","255,242,165","133,99,99",,0,,0,,0,,0,,0
207,"204,146,198","231,178,255","169,174,152","106,167,107","169,78,78",,0,,0,,0,,0,,0
208,"204,93,93","246,135,129","255,225,225","194,227,156","154,149,97",,0,,0,,0,,0,,0
209,"35,61,105","210,60,60","255,202,148","255,248,225","184,243,244",,0,,0,,0,,0,,0
210,"205,16,118","139,10,80","139,58,98","139,28,98","139,34,82",,0,,0,,0,,0,,0
211,"118,176,166","249,183,160","210,201,210","241,115,166","238,78,96",,0,,0,,0,,0,,0
212,"255,127,28","0,4,24","43,43,43","0,14,255","0,15,255",,0,,0,,0,,0,,0
213,"122,122,122","188,188,188","247,247,247","61,57,53","1,66,65",,0,,0,,0,,0,,0
214,"237,60,109","251,216,225","242,242,242","222,254,176","182,82,171",,0,,0,,0,,0,,0
215,"23,138,229","154,75,75","101,98,28","245,246,74","15,21,26",,0,,0,,0,,0,,0
216,"67,174,197","74,147,201","107,158,216","138,161,223","188,192,240",,0,,0,,0,,0,,0
217,"145,138,154","173,138,189","207,108,208","216,74,174","234,30,112",,0,,0,,0,,0,,0
218,"104,255,43","158,255,66","209,255,79","233,255,55","253,255,50",,0,,0,,0,,0,,0
219,"254,255,189","248,249,150","246,218,99","238,175,55","225,136,0",,0,,0,,0,,0,,0
220,"81,87,120","133,144,167","213,238,236","185,218,219","146,183,191",,0,,0,,0,,0,,0
221,"229,229,229","255,246,246","255,220,220","255,156,156","255,252,237",,0,,0,,0,,0,,0
222,"0,15,255","189,43,255","216,179,242","0,255,4","183,255,191",,0,,0,,0,,0,,0
223,"0,249,255","144,252,255","0,15,255","255,145,217","255,0,206",,0,,0,,0,,0,,0
224,"126,109,109","201,181,181","202,227,204","254,255,237","242,242,242",,0,,0,,0,,0,,0
225,"0,7,56","33,0,99","55,23,133","102,44,195","105,0,195",,0,,0,,0,,0,,0
226,"246,246,246","188,240,211","120,216,209","53,229,181","69,69,69",,0,,0,,0,,0,,0
227,"242,157,157","238,179,209","195,160,208","159,157,212","162,211,212",,0,,0,,0,,0,,0
228,"48,191,16","255,232,2","206,4,4","0,171,255","182,0,165",,0,,0,,0,,0,,0
229,"199,184,95","120,129,48","165,83,0","180,123,16","118,9,3",,0,,0,,0,,0,,0
230,"47,139,0","177,234,164","242,178,236","151,7,201","243,244,88",,0,,0,,0,,0,,0
231,"156,95,0","255,179,102","255,232,91","75,193,39","38,249,211",,0,,0,,0,,0,,0
232,"58,217,240","97,92,229","0,15,255","228,229,229","58,14,114",,0,,0,,0,,0,,0
233,"255,238,236","0,15,255","238,141,141","127,150,214","0,197,255",,0,,0,,0,,0,,0
234,"244,193,240","58,225,120","4,120,0","129,72,15","90,53,16",,0,,0,,0,,0,,0
235,"2,2,2","122,122,122","214,208,208","196,216,238","236,223,200",,0,,0,,0,,0,,0
236,"236,218,174","253,244,161","99,225,215","57,212,225","186,127,186",,0,,0,,0,,0,,0
237,"222,204,144","23,54,84","198,213,194","241,241,241","155,175,185",,0,,0,,0,,0,,0
238,"240,222,222","234,204,168","180,52,52","25,104,116","39,152,13",,0,,0,,0,,0,,0
239,"192,201,188","223,223,223","191,190,199","229,212,191","218,221,169",,0,,0,,0,,0,,0
240,"0,6,6","1,31,75","179,205,224","79,91,102","52,61,70",,0,,0,,0,,0,,0
241,"99,49,49","66,18,18","63,67,90","62,140,169","96,221,211",,0,,0,,0,,0,,0
242,"223,81,81","131,90,73","189,111,78","225,170,87","255,201,225",,0,,0,,0,,0,,0
